eleccion,categoria,votos
camara_2018,alianza_verde,433965.0
camara_2018,blanco,177390.0
camara_2018,centro_democratico,473933.0
camara_2018,conservador_cjl,223134.0
camara_2018,cr_mira_u,425094.0
camara_2018,liberal,168853.0
camara_2018,no_marcado,48728.0
camara_2018,nulo,247965.0
camara_2018,otros,55449.0
camara_2018,pacto_historico,399041.0
camara_2022,alianza_verde,397394.0
camara_2022,blanco,205091.0
camara_2022,centro_democratico,292882.0
camara_2022,conservador_cjl,130292.61679300001
camara_2022,cr_mira_u,226036.383207
camara_2022,liberal,142800.0
camara_2022,no_marcado,28503.0
camara_2022,nuevo_liberalismo,189814.0
camara_2022,nulo,75427.0
camara_2022,otros,167952.0
camara_2022,pacto_historico,859781.0
camara_2022,salvacion_nacional,10952.0
camara_2026,alianza_verde,245261.0
camara_2026,blanco,134878.0
camara_2026,centro_democratico,694326.0
camara_2026,conservador_cjl,78910.0
camara_2026,cr_mira_u,177031.676975
camara_2026,liberal,112817.0
camara_2026,no_marcado,27016.0
camara_2026,nuevo_liberalismo,105616.0
camara_2026,nulo,52464.0
camara_2026,otros,200976.323025
camara_2026,pacto_historico,932728.0
camara_2026,salvacion_nacional,190113.0
concejo_2019,alianza_verde,569939.0
concejo_2019,blanco,529514.0
concejo_2019,centro_democratico,261423.0
concejo_2019,conservador_cjl,203732.0
concejo_2019,cr_mira_u,407285.0
concejo_2019,liberal,331794.0
concejo_2019,no_marcado,150921.0
concejo_2019,nuevo_liberalismo,108133.0
concejo_2019,nulo,112118.0
concejo_2019,otros,60462.0
concejo_2019,pacto_historico,406206.0
concejo_2023,alianza_verde,420166.0
concejo_2023,blanco,368831.0
concejo_2023,centro_democratico,359777.0
concejo_2023,conservador_cjl,85625.0
concejo_2023,cr_mira_u,216974.0
concejo_2023,liberal,296886.0
concejo_2023,no_marcado,92898.0
concejo_2023,nuevo_liberalismo,404399.0
concejo_2023,nulo,83460.0
concejo_2023,otros,219197.0
concejo_2023,pacto_historico,381804.0
concejo_2023,salvacion_nacional,52489.0
presidente_2018,blanco,55867.0
presidente_2018,centro_democratico,989771.0
presidente_2018,cr_mira_u,172684.0
presidente_2018,liberal,93401.0
presidente_2018,no_marcado,1885.0
presidente_2018,nulo,27858.0
presidente_2018,otros,1264566.0
presidente_2018,pacto_historico,1099928.0
presidente_2022,blanco,73445.0
presidente_2022,centro_democratico,725861.0
presidente_2022,conservador_cjl,46913.0
presidente_2022,no_marcado,1410.0
presidente_2022,nulo,34014.0
presidente_2022,otros,1137534.0
presidente_2022,pacto_historico,1772001.0
presidente_2022,salvacion_nacional,9835.0
presidente_2026,alianza_verde,102451.0
presidente_2026,blanco,70220.0
presidente_2026,centro_democratico,372210.0
presidente_2026,no_marcado,5699.0
presidente_2026,nulo,33257.0
presidente_2026,otros,295756.0
presidente_2026,pacto_historico,1705455.0
presidente_2026,salvacion_nacional,1543282.0
senado_2022,alianza_verde,449916.398775
senado_2022,blanco,182882.0
senado_2022,centro_democratico,340231.0
senado_2022,conservador_cjl,164293.069719
senado_2022,cr_mira_u,250539.930281
senado_2022,liberal,131599.0
senado_2022,no_marcado,30719.0
senado_2022,nuevo_liberalismo,164046.0
senado_2022,nulo,70235.0
senado_2022,otros,205336.60122500002
senado_2022,pacto_historico,820942.0
senado_2022,salvacion_nacional,8536.0
senado_2026,blanco,110681.0
senado_2026,centro_democratico,648898.0
senado_2026,conservador_cjl,96572.0
senado_2026,cr_mira_u,135372.0
senado_2026,liberal,185159.0
senado_2026,no_marcado,27122.0
senado_2026,nulo,48545.0
senado_2026,otros,647657.0
senado_2026,pacto_historico,981619.0
senado_2026,salvacion_nacional,198737.0
