"Año","Tipo de elección","Cod_depto","Departamento","Cod_municipio","Municipio","Zona","Cod_puesto","Puesto de votación","Sexo","","","Potencial electoral","Rangos Etareos","","","","","","","","","","",""
"","","","","","","","","","Hombres","Mujeres","Otros","","18-20","21-25","26-30","31-35","36-40","41-45","46-50","51-55","56-60","mas de 60","sin fecha de nacimiento","extranjero"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","01","USAQUÉN","18.503","16.472","0","34.975","1808","5092","6497","3787","1391","1967","5987","2026","1838","4582","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","02","SERVITA","12.159","15.126","0","27.285","62","3597","3965","3389","2123","2011","2181","2480","2177","5300","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","03","CALAZANS","5.332","6.336","0","11.668","453","1426","1951","1331","964","911","892","917","793","2030","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","04","AQUILEO PARRA","7.675","9.252","0","16.927","881","2768","1673","1970","1521","1476","1420","1379","1187","2652","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","05","LIJACA","6.121","7.049","0","13.170","502","1963","2764","1488","1238","1015","965","869","748","1618","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","06","SAN ANTONIO UNIÓN COLOMBIA","5.868","6.891","0","12.759","949","2143","1483","1221","1176","1048","1026","1006","915","1791","0","1"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","07","BARRANCAS","6.169","7.184","0","13.353","798","2419","2035","1205","898","931","871","940","904","2351","1","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","08","LOS CEDRITOS 151","10.661","14.393","0","25.054","96","1424","2597","1852","2121","2126","1953","2131","2326","8428","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","09","UNIVERSIDAD DEL BOSQUE","8.863","11.369","0","20.232","935","2993","2510","1995","1415","1378","1137","1326","1488","5055","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","10","SANTO TOMAS DE AQUINO","8.572","11.218","0","19.790","33","1378","1837","1498","1655","1633","1530","1571","1777","6878","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","11","INSTITUTO PEDAGOGICO","7.597","8.790","0","16.387","802","2338","1624","4870","1047","903","738","836","847","2382","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","12","UNICENTRO","17.232","21.297","0","38.529","84","1135","3367","3814","3102","3591","3418","3975","3637","12406","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","13","PLAZA MEXICO","6.668","8.116","0","14.784","388","1465","1595","1250","1317","1132","1028","1316","1419","3874","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","14","SANTA PAULA","5.363","6.752","0","12.115","357","1451","1363","1218","1303","1205","905","950","865","2498","0","0"
