anio,lista,nombre,familia_id,votos,curules
2011,partido_de_la_u,Partido de la U,cr_mira_u,302736,8
2011,progresistas,Movimiento Progresistas,pacto_historico,301447,8
2011,cambio_radical,Cambio Radical,cr_mira_u,271135,7
2011,liberal,Partido Liberal,liberal,221001,6
2011,partido_verde,Partido Verde,alianza_verde,197671,5
2011,polo,Polo Democrático Alternativo,pacto_historico,136611,4
2011,conservador,Partido Conservador,conservador_cjl,109958,3
2011,mira,MIRA,cr_mira_u,75085,2
2011,pin,Partido de Integración Nacional,otros,40701,1
2011,asi,Alianza Social Independiente,otros,34392,1
2011,aico,AICO,otros,14112,0
2011,mio,Movimiento de Inclusión y Oportunidades,otros,1616,0
2011,blanco,Voto en blanco,blanco,303833,
2011,nulo,Votos nulos,nulo,133628,
2011,no_marcado,Tarjetones no marcados,no_marcado,101781,
2015,cambio_radical,Cambio Radical,cr_mira_u,371174,9
2015,cd,Centro Democrático,centro_democratico,271828,6
2015,liberal,Partido Liberal,liberal,269141,6
2015,av,Alianza Verde,alianza_verde,255263,6
2015,polo,Polo Democrático Alternativo,pacto_historico,227178,5
2015,la_u,Partido de la U,cr_mira_u,201587,4
2015,conservador,Partido Conservador,conservador_cjl,124319,3
2015,mira,MIRA,cr_mira_u,105370,2
2015,libres,Movimiento Libres,conservador_cjl,69861,1
2015,progresistas,Movimiento Progresistas,pacto_historico,60316,1
2015,asi,Alianza Social Independiente,otros,48961,1
2015,opcion_ciudadana,Opción Ciudadana,otros,41489,1
2015,up,Unión Patriótica,pacto_historico,39726,0
2015,mais,MAIS,pacto_historico,12061,0
2015,aico,AICO,otros,9610,0
2015,blanco,Voto en blanco,blanco,359571,
2015,nulo,Votos nulos,nulo,127888,
2015,no_marcado,Tarjetones no marcados,no_marcado,124057,
