eleccion,partido_cod,lista_id,familia_id,votos_lista,partido_nombre,peso,coalicion_multifamilia,fuente,socios
camara_2018,00006,,centro_democratico,473933,PARTIDO CENTRO DEMOCRÁTICO,1.0,False,regla,cd
camara_2018,00004,,alianza_verde,433965,PARTIDO ALIANZA VERDE,1.0,False,regla,av
camara_2018,00001,,pacto_historico,237376,"COALICIÓN LISTA DE LA DECENCIA (ASI,UP,MAIS)",1.0,False,regla,colombia_humana
camara_2018,00005,,cr_mira_u,218577,PARTIDO CAMBIO RADICAL,1.0,False,regla,cr
camara_2018,00009,,liberal,168853,PARTIDO LIBERAL COLOMBIANO,1.0,False,regla,liberal
camara_2018,00011,,pacto_historico,149137,PARTIDO POLO DEMOCRÁTICO ALTERNATIVO,1.0,False,regla,polo
camara_2018,00002,,conservador_cjl,128653,G.S.C. COLOMBIA JUSTA LIBRES,1.0,False,regla,cjl
camara_2018,00012,,cr_mira_u,128444,PARTIDO POLÍTICO MIRA,1.0,False,regla,mira
camara_2018,00007,,conservador_cjl,94481,PARTIDO CONSERVADOR COLOMBIANO,1.0,False,regla,conservador
camara_2018,00013,,cr_mira_u,78073,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,1.0,False,regla,la_u
camara_2018,00014,,otros,25389,PARTIDO SOMOS,1.0,False,regla,sin_regla
camara_2018,00010,,otros,20977,PARTIDO OPCIÓN CIUDADANA,1.0,False,regla,sin_regla
camara_2018,00008,,pacto_historico,12528,PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMÚ,1.0,False,regla,farc
camara_2018,00003,,otros,9083,"MOVIMIENTO TODOS SOMOS COLOMBIA ""TSC""",1.0,False,regla,sin_regla
camara_2022,00290,,pacto_historico,852895,PACTO HISTÓRICO,1.0,False,regla,pacto_historico
camara_2022,00004,,alianza_verde,397394,PARTIDO ALIANZA VERDE,1.0,False,regla,av
camara_2022,00011,,centro_democratico,292882,PARTIDO CENTRO DEMOCRÁTICO,1.0,False,regla,cd
camara_2022,00019,,nuevo_liberalismo,189814,PARTIDO NUEVO LIBERALISMO,1.0,False,regla,nuevo_liberalismo
camara_2022,00261,,otros,167952,COALICIÓN CENTRO ESPERANZA,1.0,False,regla,centro_esperanza
camara_2022,00001,,liberal,142800,PARTIDO LIBERAL COLOMBIANO,1.0,False,regla,liberal
camara_2022,00222,,cr_mira_u,128777,COALICIÓN MIRA - COLOMBIA JUSTA LIBRES,0.473189,True,regla,mira+cjl
camara_2022,00222,,conservador_cjl,128777,COALICIÓN MIRA - COLOMBIA JUSTA LIBRES,0.526811,True,regla,mira+cjl
camara_2022,00003,,cr_mira_u,116055,PARTIDO CAMBIO RADICAL,1.0,False,regla,cr
camara_2022,00202,,cr_mira_u,111497,"COALICIÓN PARTIDO CONSERVADOR COLOMBIANO Y PARTIDO DE LA ""U""",0.439882,True,regla,la_u+conservador
camara_2022,00202,,conservador_cjl,111497,"COALICIÓN PARTIDO CONSERVADOR COLOMBIANO Y PARTIDO DE LA ""U""",0.560118,True,regla,la_u+conservador
camara_2022,00302,,salvacion_nacional,10952,MOVIMIENTO DE SALVACIÓN NACIONAL,1.0,False,regla,bogota_mas_fuerte
camara_2022,00013,,pacto_historico,6886,PARTIDO COMUNES,1.0,False,regla,farc
camara_2026,03064,,pacto_historico,932728,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,1.0,False,regla,pacto_historico
camara_2026,00011,,centro_democratico,694326,PARTIDO CENTRO DEMOCRÁTICO,1.0,False,regla,cd
camara_2026,00004,,alianza_verde,245261,PARTIDO ALIANZA VERDE,1.0,False,regla,av
camara_2026,00020,,salvacion_nacional,190113,MOVIMIENTO SALVACIÓN NACIONAL,1.0,False,regla,bogota_mas_fuerte
camara_2026,00001,,liberal,112817,PARTIDO LIBERAL COLOMBIANO,1.0,False,regla,liberal
camara_2026,03014,,cr_mira_u,109205,MIRA + DIGNIDAD Y COMPROMISO,0.740595,True,regla,mira+dignidad_compromiso
